IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.119.115,2052,2052,FALSE,SJC,North America,San Jose,207,10.83
8.219.55.31,2052,2052,FALSE,SIN,Asia Pacific,Singapore,74,10.83
47.245.6.9,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,159,10.82
8.219.240.160,2053,2053,TRUE,SIN,Asia Pacific,Singapore,81,10.82
8.218.22.210,8880,8880,FALSE,SJC,North America,San Jose,205,10.82
8.219.167.113,2082,2082,FALSE,SIN,Asia Pacific,Singapore,18,10.82
47.245.126.151,2096,2096,TRUE,SIN,Asia Pacific,Singapore,28,10.82
47.242.17.250,2086,2086,FALSE,SJC,North America,San Jose,214,10.81
47.245.30.65,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,266,10.81
47.245.37.94,80,80,FALSE,NRT,Asia Pacific,Tokyo,77,10.81
47.236.172.95,2096,2096,TRUE,SIN,Asia Pacific,Singapore,102,10.81
8.209.240.227,80,80,FALSE,HKG,Asia Pacific,Hong Kong,176,10.81
8.219.210.93,2095,2095,FALSE,SIN,Asia Pacific,Singapore,9,10.8
8.219.159.232,2053,2053,TRUE,SIN,Asia Pacific,Singapore,220,10.8
8.222.133.247,2053,2053,TRUE,SIN,Asia Pacific,Singapore,121,10.79
47.245.89.102,8443,8443,TRUE,SIN,Asia Pacific,Singapore,53,10.79
8.219.240.160,2052,2052,FALSE,SIN,Asia Pacific,Singapore,11,10.79
8.219.142.191,2083,2083,TRUE,SIN,Asia Pacific,Singapore,63,10.79
8.219.1.92,8443,8443,TRUE,SIN,Asia Pacific,Singapore,66,10.79
8.219.228.157,2083,2083,TRUE,SIN,Asia Pacific,Singapore,76,10.79
